10,12
41,23
40,17
0,41,49
49,11,20
13,12,29
41,10,11
8,20,38
40,49,20
17,12,29
0,41,32
0,10,47
17,42,12
8,20,13
17,11,20
32,41,45,38
16,1,42,38
48,42,35,14
48,2,42,29
10,42,46,47
32,8,29,39
49,45,38,14
32,11,45,47
10,28,29,23
25,42,28,14
0,10,28,38
42,31,38,47
28,29,38,23
40,49,29,41
17,13,20,28
8,17,13,38
8,32,13,47
41,10,45,29
16,42,18,31
0,49,42,14
41,42,18,12
48,42,10,31
42,13,45,31
32,11,45,38
42,18,14,31
32,41,45,17
0,42,28,14
8,17,42,14
38,8,29,14
32,49,20,45
40,28,29,38
40,10,29,38
48,1,42,16
41,42,2,29
10,28,42,23
10,20,29,47
17,45,29,14
38,32,45,14
32,41,40,29
42,2,29,38
41,42,20,17
32,49,40,10
49,20,14,17
25,42,29,45
18,41,42,2
39,13,29,47
8,41,42,17
42,28,12,29
49,10,20,47
8,49,13,47
8,29,13,47
49,42,35,38
32,42,14,31
41,28,14,17
8,49,10,14
41,42,12,29
38,20,13,14
38,8,32,14
8,41,29,17
32,17,8,41
8,42,18,46
17,10,20,28
29,13,38,23
40,49,42,1
32,11,28,14
18,42,12,28
42,28,38,23
16,49,3,10,42,13
32,18,3,42,46,47
49,18,42,28,13,31
49,20,42,28,29,14
48,1,18,38,42,14
32,18,42,11,28,47
48,18,20,42,29,14
49,18,8,41,42,28
49,29,38,42,13,46
48,18,29,42,45,14
49,38,41,42,29,14
0,17,18,3,10,42
48,18,20,41,42,29
16,18,3,42,38,10
48,1,29,42,13,47
0,32,18,42,28,13
18,29,25,42,13,14
18,3,42,31,13,47
18,38,41,42,29,25
32,1,10,38,42,47
32,17,29,11,13,47
49,29,3,42,45,14
1,18,3,20,42,13
32,48,49,18,42,31
18,35,3,42,10,14
17,18,49,25,42,13
32,48,18,42,28,31
18,10,42,28,29,31
32,49,18,40,42,13
49,18,38,23,42,29
32,18,3,42,10,31
1,3,42,10,29,47
16,17,18,3,8,42
0,49,10,42,28,29
49,18,10,42,29,31
18,29,42,23,10,13
48,3,10,38,25,42
48,1,49,10,42,47
16,29,38,42,28,13
1,49,3,42,28,14
32,38,41,10,29,14
48,17,18,38,41,42
1,18,38,8,42,13
0,32,18,3,42,13
48,1,18,10,42,47
0,32,49,18,42,47
32,3,42,10,29,31
18,20,38,41,42,29
49,18,20,38,41,42
49,18,29,23,42,13
18,3,25,42,29,46
18,35,42,29,10,13
16,49,18,41,42,29
32,17,18,49,42,31
32,1,42,10,28,14
49,18,3,20,41,42
32,17,41,10,28,13
32,48,18,35,42,28
17,18,38,42,13,47
32,18,10,20,42,47
32,1,48,42,10,47
18,29,38,41,42,45
1,42,10,28,13,14
18,35,3,42,10,13
17,18,35,29,42,13
0,18,29,42,10,13
16,48,18,38,42,13
32,49,29,10,45,14
16,18,3,42,10,28
18,3,42,23,10,29
18,3,42,8,10,14
32,49,18,38,42,31
32,49,18,20,42,46
16,48,18,42,28,13
17,18,42,10,29,46
18,10,29,42,13,31
17,18,35,42,49,10
32,1,16,18,42,29
18,3,20,8,42,29
0,18,3,29,42,13
32,18,3,23,42,29
49,18,10,38,23,42
32,48,18,38,42,11
49,18,42,40,10,29
32,49,38,23,42,29
32,49,38,42,29,31
32,18,35,42,29,14
48,18,45,42,13,47
48,1,49,42,13,47
49,13,29,38,45,47
32,49,8,10,28,13
49,18,35,17,42,13
32,49,10,42,29,31
32,18,38,42,29,31
48,18,42,8,10,28
16,17,18,42,10,29
17,29,41,10,28,13
32,1,3,41,42,28
0,32,18,10,42,14
48,18,25,42,29,46
17,18,35,42,10,13
3,42,28,13,14,47
48,49,18,20,42,14
32,18,38,41,42,11
3,42,28,29,14,47
32,1,3,42,28,14
48,1,10,42,29,47
32,49,2,18,42,29
32,41,42,28,13,14
18,3,42,10,29,31
17,18,3,49,42,46
32,49,38,10,11,29
1,3,38,41,42,29
32,16,17,18,8,42
32,17,38,10,11,13
17,18,42,38,25,10
32,49,2,42,10,29
32,18,42,40,10,29
32,1,48,25,42,29
32,49,38,41,29,14
32,2,3,18,42,29
18,41,42,28,13,14
49,18,20,42,28,14
32,18,25,42,13,14
48,18,42,10,13,46
49,18,20,42,29,46
1,3,42,10,13,47
48,49,3,25,42,13
49,18,10,42,13,31
49,42,25,10,28,13
16,49,18,8,42,13
3,42,38,41,10,14
16,48,18,3,42,28
32,49,17,10,14,47
32,38,41,42,11,29
18,3,38,42,28,46
18,45,29,39,42,13
32,16,18,29,42,45
32,18,42,28,13,31
32,18,29,8,42,45
32,49,18,23,42,29
0,49,18,42,10,13
18,20,42,28,29,47
32,17,41,10,29,14
48,1,49,38,42,14
32,49,38,10,11,13
49,29,20,10,28,13
32,17,29,38,28,45
48,1,17,3,18,42
48,38,42,28,13,47
48,42,10,28,14,47
18,35,42,10,28,29
18,20,42,28,29,14
49,18,3,35,42,28
48,18,41,42,29,25
17,2,18,49,42,29
32,18,35,42,10,14
32,49,20,41,28,29
48,18,38,8,42,13
18,42,38,10,28,46
16,18,38,8,42,29
32,18,20,38,41,42
49,18,42,23,10,29
32,3,35,10,42,14
48,45,38,42,28,13
49,18,35,42,10,13
32,17,10,28,13,47
0,18,3,42,10,13
32,18,35,42,10,28
49,2,3,18,42,29
49,29,41,10,13,14
49,18,17,38,25,42
32,1,18,29,42,45
32,20,38,42,29,14
32,1,17,18,41,42
32,18,42,28,13,46
32,48,49,42,29,31
16,49,48,3,42,13
48,1,3,38,42,28
16,17,18,38,42,29
32,18,42,10,29,31
16,18,3,8,42,13
49,45,38,42,13,47
32,48,18,42,29,31
32,1,48,38,42,14
0,49,18,3,42,13
18,38,25,42,28,13
32,18,38,25,42,46
18,38,41,42,29,46
48,16,18,42,38,10
49,18,3,8,41,42
32,18,42,10,31,47
49,18,29,40,42,13
1,49,10,42,28,14
16,18,3,38,42,28
0,49,18,42,28,13
16,49,18,29,42,45
1,49,18,42,8,10
32,18,20,42,11,29
32,17,18,42,45,14
49,3,42,28,29,31
16,49,48,38,42,13
18,3,38,23,42,29
3,10,38,25,42,28
32,48,18,35,42,29
49,42,38,25,10,13
29,3,42,28,45,47
32,49,45,10,13,47
32,1,18,8,42,28
32,48,41,42,28,14
32,49,10,39,42,29
17,18,35,42,29,14
32,1,16,49,18,42
32,18,3,8,25,42
32,49,20,42,28,14
32,18,10,42,13,31
32,49,8,41,42,28
32,0,18,42,28,47
16,18,10,38,42,28
1,49,3,42,10,47
18,3,42,10,28,46
32,49,20,10,28,13
48,29,25,42,28,13
32,49,8,41,28,29
32,49,10,11,28,29
48,49,42,28,14,47
0,49,18,17,42,10
0,48,18,42,10,29
49,13,29,10,45,14
32,0,18,3,42,10,29
49,18,17,42,29,14,47
1,18,29,42,28,13,14
18,29,42,25,10,28,13
48,49,18,17,20,42,29
16,49,18,3,10,42,29
32,17,18,42,11,13,47
32,17,18,3,20,42,13
32,49,18,10,38,42,11
48,49,3,38,41,42,28
32,18,29,42,10,13,46
32,48,18,42,38,10,46
32,17,18,3,42,28,31
32,49,18,8,42,13,14
49,18,3,42,25,10,28
48,49,10,38,25,42,29
32,18,3,35,42,28,29
32,1,18,42,8,10,29
17,18,49,42,13,14,47
48,18,3,38,25,42,29
32,18,8,42,28,29,47
32,49,29,8,42,13,14
49,1,10,38,42,29,14
32,49,18,42,31,29,47
32,17,18,3,42,45,47
32,48,18,20,42,29,47
48,17,18,29,41,42,13
48,18,3,20,29,42,13
32,48,49,18,20,42,47
48,49,18,3,20,42,13
32,49,18,38,42,13,46
32,16,48,18,3,42,29
48,49,18,13,42,29,46
32,1,48,18,42,41,10
49,18,3,17,20,42,13
17,18,45,42,10,28,13
32,49,18,3,42,13,31
32,17,18,3,42,8,10
1,18,3,42,38,10,14
32,49,18,38,41,42,14
0,49,18,3,42,10,29
32,18,38,41,42,29,14
1,49,10,18,41,42,13
48,1,49,18,42,29,14
48,49,18,20,38,42,13
32,48,17,18,20,42,28
32,49,29,38,11,28,13
49,18,29,8,42,13,14
32,18,3,8,41,42,29
16,18,29,42,10,28,13
32,48,3,42,41,10,14
32,1,18,29,8,42,13
32,48,18,38,25,42,28
32,48,18,29,42,45,47
32,13,3,18,42,45,14
1,49,18,42,28,13,14
48,1,49,29,42,13,14
1,49,3,18,8,42,29
49,13,3,42,38,10,45
32,18,10,25,42,29,41
18,29,42,38,25,10,13
32,1,18,3,38,41,42
0,32,48,3,18,42,29
32,1,18,42,28,13,14
32,48,18,42,10,11,29
32,49,29,18,41,42,45
32,17,18,42,13,14,47
32,18,3,42,28,29,31
32,17,18,38,8,42,29
32,17,18,42,10,14,47
32,49,18,42,28,29,31
32,16,48,18,10,42,29
32,17,18,3,42,29,46
49,29,38,41,10,28,13
32,48,18,3,38,25,42
18,3,42,38,25,10,13
32,18,42,41,10,29,46
49,18,42,41,10,28,14
49,18,38,25,42,29,47
48,18,38,41,42,28,13
32,16,18,3,8,42,29
16,49,18,3,38,42,29
32,49,18,8,41,42,29
16,32,18,3,38,42,29
32,1,49,42,25,10,29
32,17,18,3,35,49,42
32,17,38,42,28,13,14
32,17,18,42,28,29,31
48,13,29,42,38,10,45
32,17,18,35,3,42,13
32,49,18,3,42,29,31
32,18,42,20,10,28,13
17,18,10,3,8,42,29
32,49,18,42,29,46,47
32,48,17,18,41,42,13
16,48,49,29,42,10,13
1,18,49,42,20,10,29
49,42,38,25,10,28,29
32,17,18,20,38,42,29
49,13,29,18,41,42,45
32,49,18,20,25,42,29
48,49,10,25,42,28,29
48,18,3,29,25,42,13
32,49,18,35,42,28,29
18,3,42,25,10,29,14
32,17,18,3,35,42,29
18,3,20,42,10,29,14
0,48,49,18,42,28,29
32,16,18,3,42,28,13
32,48,18,10,42,11,13
1,10,3,38,42,28,13
1,18,3,42,8,10,29
32,49,10,28,29,14,47
48,18,13,42,25,10,29
32,18,13,39,42,28,29
32,13,29,38,10,28,45
32,17,18,42,29,14,47
32,17,18,3,42,14,47
32,49,18,17,42,14,47
49,3,38,25,42,28,29
32,1,3,10,38,42,14
17,18,3,42,41,10,14
32,49,38,10,29,14,47
32,1,49,18,25,42,29
48,49,18,42,8,10,29
32,49,18,35,3,42,29
1,3,42,38,10,13,14
48,18,42,38,10,29,46
32,49,18,8,42,29,14
32,1,49,18,20,38,42
48,13,18,42,3,10,45
32,16,18,3,42,10,13
49,18,10,20,3,42,28
32,17,18,3,35,42,14
32,18,3,38,25,42,13
32,17,18,35,49,42,29
32,1,49,18,42,28,14
48,13,3,29,42,28,45
16,49,18,42,10,28,29
32,49,18,40,42,28,29
48,49,18,16,42,32,10
32,1,18,42,20,10,29
32,17,18,1,42,13,14
32,48,18,20,42,10,13
49,18,3,8,42,29,47
48,49,3,42,29,14,47
49,18,10,38,25,42,28
32,48,17,18,49,20,42
17,18,3,42,25,10,29
32,18,39,42,11,28,29
48,17,18,3,38,42,14
48,49,3,10,42,14,47
49,18,3,20,42,29,14
32,18,10,38,25,42,13
32,17,18,3,38,8,42
32,49,18,48,42,8,10
49,18,29,42,10,45,14
32,49,18,20,38,42,14
32,48,18,3,25,42,13
32,1,18,42,28,29,14
32,49,18,39,42,29,47
32,1,49,3,38,42,14
32,18,3,42,28,14,47
48,49,18,45,42,29,47
32,48,18,42,38,25,10
32,1,18,10,20,49,42
32,49,18,29,42,13,31
17,18,3,38,41,42,13
32,17,18,49,42,29,46
32,49,18,3,42,28,31
32,49,29,39,42,28,13
32,17,13,18,42,45,47
32,17,18,48,25,42,29
32,18,3,42,28,45,47
3,42,38,10,28,29,47
32,29,3,18,42,13,31
29,10,42,28,13,14,47
0,32,48,18,49,42,29
32,48,18,8,42,28,13
32,48,18,3,20,42,13
32,1,48,18,20,42,29
49,13,18,42,10,45,47
32,49,18,25,42,29,14
49,18,42,10,28,29,46
1,17,18,29,42,13,14
32,17,49,41,42,29,14
18,3,13,8,42,29,14
32,17,18,3,0,42,28
49,18,3,42,38,10,46
32,49,18,20,42,13,47
32,18,29,8,41,42,13
32,29,18,8,42,13,14
16,48,18,29,42,10,13
48,1,49,32,41,42,28
48,17,18,45,32,42,13
32,18,3,38,41,42,14
16,18,29,42,3,10,13
17,18,49,20,38,42,29
32,49,17,38,10,13,14
32,48,18,39,42,28,29
48,18,29,42,8,10,13
32,16,48,18,38,42,29
16,18,3,29,38,42,13
32,49,17,18,20,38,42
1,3,42,38,10,29,14
32,18,29,45,41,42,13
32,48,17,18,20,42,29
32,18,3,42,39,10,29
48,18,3,38,42,29,46
32,17,29,39,42,11,13
32,49,18,3,42,47,31
32,18,38,25,42,29,47
32,18,3,8,42,29,47
32,18,3,8,42,29,14
0,32,17,18,3,42,29
17,18,10,41,42,28,13
32,18,3,8,42,13,14
32,48,13,18,38,42,45
48,18,3,10,8,42,29
32,18,29,39,42,28,45
32,49,18,42,10,28,46
32,1,18,3,25,42,29
18,3,20,10,42,28,29
49,42,10,28,13,14,47
32,49,18,45,39,42,29
32,49,13,17,29,38,45
49,18,10,17,38,41,42
48,1,3,42,38,10,13
49,42,38,10,29,14,47
32,48,16,18,49,38,42
48,49,18,41,42,29,47
0,49,18,17,3,42,29
32,1,18,3,10,42,47
32,49,18,38,25,42,47
32,49,18,20,42,29,47
32,18,3,20,42,29,14
1,49,3,42,38,10,14
16,49,18,17,32,42,29
17,18,3,38,25,42,29
32,17,49,18,41,42,14
32,48,18,3,42,28,46
17,18,3,29,42,45,47
49,18,20,38,42,29,14
49,18,35,29,3,42,13
0,32,17,18,42,28,29
17,18,42,38,41,10,28
32,49,17,42,11,13,14
32,10,38,42,29,14,47
32,18,42,10,28,29,46
32,49,18,20,41,42,28
32,49,18,20,41,42,29
32,49,18,1,8,42,29
32,1,18,20,38,42,29
48,32,18,3,38,42,46
32,48,18,3,39,42,29
32,49,18,3,8,42,47
32,3,42,10,28,14,47
49,18,20,41,42,28,29
48,18,3,38,8,42,29
32,49,18,42,31,13,47
32,16,18,42,38,10,29
32,16,18,8,42,28,29
32,16,49,18,8,42,29
32,1,18,38,8,42,29
18,29,20,42,10,28,13
18,10,38,42,29,14,47
32,1,18,3,20,42,29
48,10,38,42,28,29,47
48,1,18,32,41,42,13
32,18,3,41,42,29,46
32,49,18,42,10,11,28
18,3,29,38,25,42,13
49,18,29,41,42,28,45
32,17,18,3,25,42,13
32,1,18,3,8,42,13
32,1,48,18,41,42,28
32,18,3,29,42,45,14
32,18,3,45,41,42,29
32,18,13,42,39,10,29
16,49,48,18,38,42,29
32,48,18,38,42,28,45
48,18,3,10,41,42,14
32,17,18,38,25,42,29
13,18,3,38,42,28,45
49,3,10,25,42,28,29
48,1,32,41,42,28,29
48,17,18,3,10,41,42
17,18,3,29,25,42,13
16,49,18,42,38,10,29
48,49,32,10,41,42,14
32,49,18,38,41,42,47
16,18,29,42,38,10,13
0,32,48,3,18,42,28
32,48,18,49,41,42,47
32,18,3,35,10,42,29
32,48,18,42,28,14,47
17,29,45,18,42,13,47
48,17,18,45,49,42,13
1,18,3,10,41,42,13
48,18,45,42,38,10,13
32,18,42,38,41,10,14
0,32,49,18,3,42,29
17,18,3,42,10,28,45
18,3,38,8,42,28,13
49,18,29,42,31,13,47
1,49,3,38,42,29,14
49,29,38,8,42,28,13
32,18,3,42,20,10,14
32,1,48,18,17,42,28
0,32,48,18,42,28,29
32,17,18,29,25,42,13
32,17,18,3,35,10,42
48,18,3,42,13,14,47
32,49,18,42,10,45,14
32,18,3,42,31,29,47
32,17,18,35,42,28,29
48,49,18,16,42,10,29
17,18,3,38,8,42,29
18,3,42,29,10,13,46
32,48,49,18,42,13,46
32,48,18,10,8,42,13
32,49,18,20,42,28,47
32,17,18,3,42,25,10
49,42,10,28,29,14,47
17,18,3,35,49,42,29
32,17,18,8,42,11,29
32,18,41,42,11,28,29
32,16,49,18,42,29,47
48,49,16,3,18,42,29
1,18,3,13,42,29,47
49,18,10,13,42,29,46
32,48,18,42,8,10,29
17,18,42,10,13,14,47
49,18,3,41,42,28,14
32,17,18,10,38,42,47
1,18,3,29,8,42,13
32,17,18,10,8,42,29
32,49,18,3,20,42,47
48,17,18,45,29,42,13
32,48,42,38,25,10,29
32,18,29,42,31,13,47
32,49,17,29,41,10,13
32,0,18,42,10,28,29
48,49,18,16,42,10,13
32,49,0,3,42,28,29
0,32,49,18,10,42,29
49,29,42,28,13,14,47
0,32,48,49,42,28,29
0,32,48,49,18,42,28
32,49,29,45,28,13,47
48,18,3,45,42,28,13
0,32,49,18,29,42,13
32,1,42,41,10,28,29
32,48,17,18,42,10,47
32,1,48,49,18,20,42
32,18,3,41,42,28,14
17,18,42,41,10,29,14
48,18,42,38,25,10,29
48,1,29,38,42,28,13
48,49,45,42,10,28,13
49,29,3,1,42,13,47
32,0,49,18,42,28,29
49,42,38,10,13,14,47
32,16,18,10,42,28,29
32,18,3,42,25,10,14
48,17,18,38,42,29,14
32,18,38,8,41,42,29
49,18,3,20,38,42,28
32,49,18,41,42,29,46
32,17,18,35,3,42,28
32,29,18,38,42,13,46
32,49,18,20,8,42,29
17,18,3,45,10,42,13
32,31,18,42,28,29,47
32,1,48,17,18,42,13
49,18,3,38,25,42,28
32,49,18,48,39,42,29
32,1,48,49,42,29,14
18,3,38,41,42,29,14
48,17,18,49,42,28,45
32,0,18,48,42,10,28
32,1,18,3,8,42,29
32,17,18,3,42,29,31
32,18,38,41,42,29,47
48,1,49,38,42,28,13
32,17,39,42,11,28,29
32,48,1,10,42,29,14
32,18,3,42,10,13,46
32,18,10,25,42,28,13
49,18,10,38,8,42,13
0,32,18,3,42,28,29
32,16,49,18,42,10,28
18,3,42,8,10,28,13
32,1,18,10,25,42,29
32,49,18,3,40,42,29
49,18,10,20,42,28,13
49,3,38,42,28,13,47
32,49,18,35,29,42,13
48,49,18,32,40,42,29
32,18,42,8,10,29,14
17,18,29,42,38,10,45
17,49,3,18,8,42,13
32,49,38,25,42,29,47
32,49,18,41,42,29,25
32,16,18,3,42,10,29
32,18,3,41,42,13,47
32,1,18,10,41,42,28
18,3,41,42,28,29,14
32,18,8,41,42,28,29
32,1,49,18,42,28,47
0,17,18,3,42,28,29
1,49,29,18,8,42,13
32,1,18,29,42,11,13
1,18,29,42,25,10,13
32,49,18,25,42,29,46
0,49,18,17,32,42,29
48,49,18,3,42,25,10
32,49,18,8,42,29,47
18,3,42,38,8,10,28
17,18,3,45,38,42,13
17,18,45,38,42,28,29
32,17,18,35,42,10,29
